Changed?,Name,Description,Name_en,Description_en,
,Resonance_upgraded,Do [weaken]3 damage[;]|+[weaken]4 if enemy is weak,Resonance_upgraded,[1f4e4][weaken][33-20E3][1f915]||[2197][weaken][27a1][2795][weaken][34-20E3],
,Resonance_downgraded,Do [weaken]1 damage[;]|+[weaken]2 if enemy is weak,Resonance_downgraded,[1f4e4][weaken][31-20E3][1f915]||[2197][weaken][27a1][2795][weaken][32-20E3],
,Spark,Burns [fire]1 dice,[shock-border],[fire][31-20E3][dice],
,Snowflake,Freeze [ice]1 dice,[ice-border],[ice][31-20E3][dice],
,Incoming!,Add a Juggling Ball to|your deck for this fight,[1f4e8-border],[1f5c3][1f4e5][1f939][1f449][2694],
,Whisper,Weaken [weaken]1 equipment,[1f92b-border],[weaken][31-20E3][1f6e0],
,Spare 1,A spare one,[dice-border][31-20E3-border],[1f4e5][dice][31-20E3],
,Spare 1_upgraded,A spare one[;]|Do [sword]2 damage,Spare 1_upgraded,[1f4e5][dice][31-20E3]|[1f4e4][sword][32-20E3][1f915],
,Spare 2,A spare two,[dice-border][32-20E3-border],[1f4e5][dice][32-20E3],
,Spare 2_upgraded,A spare two[;]|Do [sword]2 damage,Spare 2_upgraded,[1f4e5][dice][32-20E3]|[1f4e4][sword][32-20E3][1f915],
,Spare 3,A spare three,[dice-border][33-20E3-border],[1f4e5][dice][33-20E3],
,Spare 3_upgraded,A spare three[;]|Do [sword]2 damage,Spare 3_upgraded,[1f4e5][dice][33-20E3]|[1f4e4][sword][32-20E3][1f915],
,Spare 4,A spare four,[dice-border][34-20E3-border],[1f4e5][dice][34-20E3],
,Spare 4_upgraded,A spare four[;]|Do [sword]2 damage,Spare 4_upgraded,[1f4e5][dice][34-20E3]|[1f4e4][sword][32-20E3][1f915],
,Spare 5,A spare five,[dice-border][35-20E3-border],[1f4e5][dice][35-20E3],
,Spare 5_upgraded,A spare five[;]|Do [sword]2 damage,Spare 5_upgraded,[1f4e5][dice][35-20E3]|[1f4e4][sword][32-20E3][1f915],
,Spare 6,A spare six,[dice-border][36-20E3-border],[1f4e5][dice][36-20E3],
,Spare 6_upgraded,A spare six[;]|Do [sword]2 damage,Spare 6_upgraded,[1f4e5][dice][36-20E3]|[1f4e4][sword][32-20E3][1f915],
,Boop,Do [sword]2 damage,[1f448-border],[1f4e4][sword][32-20E3][1f915],
,Boop_upgraded,Do [sword]2 damage[;]|return the dice,Boop_upgraded,[1f4e4][sword][32-20E3][1f915]|[21aa][1f449][dice],
,Boop_downgraded,Do [sword]1 damage,Boop_downgraded,[1f4e4][sword][31-20E3][1f915],
,Delete,Permanently delete the|first card in your hand,[1f5d1-border],[1f5d1][23ee][1f6e0],
,Venus Fly Trap,Do [sword]<d6> damage[;]|on 6[;] restore [heal]2 health,[2640-border][1fab0-border][1faa4-border],[1f4e4][sword]<d6>[1f915]|[36-20E3][27a1][heal][32-20E3],
,Venus Fly Trap_downgraded,Do [sword]<d6> damage[;]|on 3[;] restore [heal]1 health,Venus Fly Trap_downgraded,[1f4e4][sword]<d6>[1f915]|[33-20E3][27a1][heal][31-20E3],
,Venus Fly Trap_upgraded,Do [sword]<d6> damage[;]|on 6[;] restore [heal]3 health,Venus Fly Trap_upgraded,[1f4e4][sword]<d6>[1f915]|[36-20E3][27a1][heal][33-20E3],
,Teleport Spell,Dodge next attack,[dodge-border][1fa84-border],[dodge][23e9][1f915],
,Earth Spell,Deal [weaken]5 damage|Weaken [weaken]2 equipment,[weaken-border][1fa84-border],[1f4e4][weaken][35-20E3][1f915]|[weaken][32-20E3][1f6e0],
,Earth Spell_downgraded,Deal [weaken]5 damage|Weaken [weaken]1 equipment,Earth Spell_downgraded,[1f4e4][weaken][35-20E3][1f915]|[weaken][31-20E3][1f6e0],
,Earth Spell_upgraded,Deal [weaken]5 damage|Weaken [weaken]3 equipment,Earth Spell_upgraded,[1f4e4][weaken][35-20E3][1f915]|[weaken][33-20E3][1f6e0],
,Thunder Spell,Deal [shock]5 damage|Shock [shock]2 equipment,[1f329-border][1f50a-border][1fa84-border],[1f4e4][shock][35-20E3][1f915]|[shock][32-20E3][1f6e0],
,Thunder Spell_downgraded,Deal [shock]5 damage|Shock [shock]1 equipment,Thunder Spell_downgraded,[1f4e4][shock][35-20E3][1f915]|[shock][31-20E3][1f6e0],
,Thunder Spell_upgraded,Deal [shock]5 damage|Shock [shock]3 equipment,Thunder Spell_upgraded,[1f4e4][shock][35-20E3][1f915]|[shock][33-20E3][1f6e0],
,Ruby Weapon,Do [sword]<double> damage,[1f48e-border][2694-border],[1f4e4][sword][32-20E3][2716]<d6>[1f915],
,Ruby Weapon_downgraded,Do [sword]<d6> damage,Ruby Weapon_downgraded,[1f4e4][sword]<d6>[1f915],
,Ruby Weapon_weakened,Do [sword]<d6> damage,Ruby Weapon_weakened,[1f4e4][sword]<d6>[1f915],
,Cactus Spear,Do [sword]<d6> damage[;]|+[sword]1 for each [thorns] thorn,[1f335-border][1f93a-border],[1f4e4][sword]<d6>[1f915]|[2795][sword][31-20E3][267e][thorns],
,Cactus Spear_upgraded,Do [sword]<d6> damage[;]|+[sword]2 for each [thorns] thorn,Cactus Spear_upgraded,[1f4e4][sword]<d6>[1f915]|[2795][sword][32-20E3][267e][thorns],
,Cactus Shield,Add [thorns]1 thorns|[gray](Reuseable),[1f335-border][shield-border],[2795][thorns][31-20E3]|,
,Wooden Stake?,Do [sword]30 damage|(to vampires),[1fab5-border][1f4cc-border][2753-border],[1f4e4][sword][33-20E3][30-20E3][1f915][1f9db-200D-2642-FE0F],
,Last Stand?,Survive for three turns...|[gray](once per battle),[23ed-border][1f9cd-border][2753-border],[26d4][26b0][33-20E3][231b]|[1f914]|[31-20E3][1f590][267e][2694],
,Shooting Star,Do [sword]<d6> damage[;]|inflict [confuse]Confuse,[1f320-border],[1f4e4][sword]<d6>[1f915]|[1f4e4][confuse],
,Dark Shadow,Do [sword]<d6> damage[;]|add 2x random status,[26ab-border][1f464-border],[1f4e4][sword]<d6>[1f915]|[2795][32-20E3][2716][2753][1f300],
,Dark Shadow_downgraded,Add 2x random status,Dark Shadow_downgraded,[2795][32-20E3][2716][2753][1f300],
,Rusty Sword,Do [sword]<d6> damage[;] double|if your health is below 50%,[1f494-border][sword-border],[1f4e4][sword]<d6>[1f915]|[heart][26d4][2934][1f4ca][2797][32-20E3][27a1][32-20E3][2716][1f915],
,Polar Star,Do [sword]<double> damage[;] can|only use on even turns,[1f9ed-border][confuse-border],[1f4e4][sword][32-20E3][2716]<d6>[1f915]|[1f590][32-20E3][34-20E3][36-20E3][231b],
,Polar Star_upgraded,Do [sword]<double> damage[;] can|only use on odd turns,Polar Star_upgraded,[1f4e4][sword][32-20E3][2716]<d6>[1f915]|[1f590][31-20E3][33-20E3][35-20E3][231b],
,Polar Star_weakened,Do [sword]<double> damage[;] can|only use on odd turns,Polar Star_weakened,[1f4e4][sword][32-20E3][2716]<d6>[1f915]|[1f590][31-20E3][33-20E3][35-20E3][231b],
,Katana,Do [sword]<d6> damage|[gray](Reuseable),[1f977-border][sword-border],[1f4e4][sword]<d6>[1f915]|,
,Katana_downgraded,Do [sword]<d6> damage,Katana_downgraded,[1f4e4][sword]<d6>[1f915],
,Parrying Dagger,Do [sword]<d6> damage[;] lock|enemy dice that roll <d6>,[1f6a7-border][1f5e1-border],[1f4e4][sword]<d6>[1f915]|[lock][2197][dice][1f504]<d6>,
,Nail Bat,Do [sword]<d6> damage|(You lose [heart]2 hp each turn),[1f4cc-border][1f3cf-border],[1f4e4][sword]<d6>[1f915]|[2199][2796][heart][32-20E3][267e][231b],
,Battle Cry,Inflict [weaken]5 weaken|[gray](once per battle),[2694-border][1f5e3-border],[1f4e4][weaken][35-20E3]|[31-20E3][1f590][267e][2694],
,Battle Cry_downgraded,Inflict [weaken]3 weaken|[gray](once per battle),Battle Cry_downgraded,[1f4e4][weaken][33-20E3]|[31-20E3][1f590][267e][2694],
,Battle Cry_weakened,Inflict [weaken]3 weaken|[gray](once per battle),Battle Cry_weakened,[1f4e4][weaken][33-20E3]|[31-20E3][1f590][267e][2694],
,Particle Accelerator,On 1: Do [sword]<var_tempparticleacceleratorkludge:particleaccelerator> damage|on 2-6: Double damage,[1f3c3-border][1f52c-border],[dice][31-20E3][27a1][1f4e4][sword]<var_tempparticleacceleratorkludge:particleaccelerator>[1f915]|[dice][32-20E3][33-20E3][34-20E3][35-20E3][36-20E3][27a1][32-20E3][2716][1f915],
,Particle Accelerator_downgraded,Double damage|(currently at [sword]<var_tempparticleacceleratorkludge:particleaccelerator>),Particle Accelerator_downgraded,[32-20E3][2716][1f915]|[1f449][1f915][sword]<var_tempparticleacceleratorkludge:particleaccelerator>,
,Scissors,Do [sword]<d6> damage[;]|split dice in two,[2702-border],[1f4e4][sword]<d6>[1f915]|[1fa9a][dice][25b6][dice][dice],
,Scissors_downgraded,Do [sword]<d6> damage[;]|split value in two,Scissors_downgraded,[1f4e4][sword]<d6>[1f915]|[dice][1f522][2797][32-20E3],
,Gemstone Staff,Do [ice]6 damage|Freeze [ice]1 dice,[1f48e-border][1f9af-border],[1f4e4][ice][36-20E3][1f915]|[ice][31-20E3][dice],
,Gemstone Staff_weakened,Do [ice]3 damage|Freeze [ice]1 dice,Gemstone Staff_weakened,[1f4e4][ice][33-20E3][1f915]|[ice][31-20E3][dice],
,Gemstone Staff_downgraded,Do [ice]3 damage|Freeze [ice]1 dice,Gemstone Staff_downgraded,[1f4e4][ice][33-20E3][1f915]|[ice][31-20E3][dice],
,Trident,Do [sword]<d6> damage[;]|[ice]Freeze and [shock]Shock,[1f531-border],[1f4e4][sword]<d6>[1f915]|[ice]|[shock],
,Trident_downgraded,Do [sword]<d6> damage,Trident_downgraded,[1f4e4][sword]<d6>[1f915],
,Sledgehammer,Do [shock]8 damage|[shock]Shocks the enemy,[2b06-border][1f528-border],[1f4e4][shock][38-20E3][1f915]|[shock][2197],
,Sledgehammer_upgraded,Do [shock]10 damage|[shock]Shocks the enemy,Sledgehammer_upgraded,[1f4e4][shock][31-20E3][30-20E3][1f915]|[shock][2197],
,Sledgehammer_downgraded,Do [shock]4 damage|[shock]Shocks the enemy,Sledgehammer_downgraded,[1f4e4][shock][34-20E3][1f915]|[shock][2197],
,Capacitor,[shock]2 damage + [shock]1 shock|[gray](Reuseable),[1f50b-border],[shock][32-20E3][1f915][2795][shock][31-20E3]|,
,Capacitor_upgraded,[shock]3 damage + [shock]1 shock|[gray](Reuseable),Capacitor_upgraded,[shock][33-20E3][1f915][2795][shock][31-20E3]|,
,Capacitor_downgraded,[shock]1 damage + [shock]1 shock|[gray](Reuseable),Capacitor_downgraded,[shock][31-20E3][1f915][2795][shock][31-20E3]|,
,Pickaxe,[weaken]<d6> damage + [weaken]1 weaken|[gray](Reuseable),[26cf-border],[weaken]<d6>[1f915][2795][weaken][31-20E3]|,
,Pickaxe_upgraded,[weaken]1 weaken + [weaken]<d6> damage|[gray](Reuseable),Pickaxe_upgraded,[weaken][31-20E3][weaken]<d6>[1f915]|,
,Fireworks,Do [sword]1 damage for|each status inflicted,[1f386-border],[1f4e4][sword][31-20E3][1f915][267e][2197][1f300],
,Fireworks_upgraded,Do [sword]2 damage for|each status inflicted,Fireworks_upgraded,[1f4e4][sword][32-20E3][1f915][267e][2197][1f300],
,Kale Salad,Increase max health by 1|[gray](once per battle),[1f96c-border][1f957-border],[2795][heart][1f4ca][31-20E3]|[31-20E3][1f590][267e][2694],
,Copper Shield,Add [shield]<double> shield|[gray](once per battle),[1f534-border][shield-border],[2795][shield][32-20E3][2716]<d6>|[31-20E3][1f590][267e][2694],
,Crescent Moon Blade,[90%]Even turns: [sword]<eventurn_d6> damage|[90%]Odd turns: [shield]<oddturn_d6> shield,[1f319-border][1f5e1-border],[32-20E3][34-20E3][36-20E3][231b][27a1][sword]<eventurn_d6>[1f915]|[31-20E3][33-20E3][35-20E3][231b][27a1][shield]<oddturn_d6>,
,Kite Shield,Add [shield]8 to shield,[1fa81-border][shield-border],[2795][shield][38-20E3],
,Kite Shield_weakened,Add [shield]4 to shield,Kite Shield_weakened,[2795][shield][34-20E3],
,Kite Shield_downgraded,Add [shield]4 to shield,Kite Shield_downgraded,[2795][shield][34-20E3],
,Thick Skin,Add [shield]<d6> to shield[;]|return the dice,[1fa96-border],[2795][shield]<d6>|[21aa][1f449][dice],
,Thick Skin_upgraded,[]+[shield]<d6> shield[;] +[reduce]1 reduce[;]|return the dice,Thick Skin_upgraded,[shield]<d6>|[2795][reduce][31-20E3]|[21aa][1f449][dice],
,Combat Spatula,Flip a dice upside down|[gray](Reuseable),[2694-border][1f643-border],[1f500][dice]|,
,Hookshot?,Keep the next dice you|use[;] and return this dice,[1fa9d-border][1f52b-border][2753-border],[1f4e5][23e9][dice][1f590]|[21aa][1f449][dice],
,Hookshot?_downgraded,Keep the next dice you use,Hookshot?_downgraded,[1f4e5][23e9][dice][1f590],
,Fishing Net,Do [sword]<d6> damage[;]|lock [lock]1 dice on 3,[1f3a3-border],[1f4e4][sword]<d6>[1f915]|[33-20E3][27a1][lock][31-20E3][dice],
,Fishing Net_downgraded,Do [sword]<d6> damage[;]|lock [lock]1 dice on 2,Fishing Net_downgraded,[1f4e4][sword]<d6>[1f915]|[32-20E3][27a1][lock][31-20E3][dice],
,Fishing Net_upgraded,Do [sword]<d6> damage[;]|lock [lock]1 dice on 5,Fishing Net_upgraded,[1f4e4][sword]<d6>[1f915]|[35-20E3][27a1][lock][31-20E3][dice],
,Ignite,Inflict [fire]1 burn[;]|return both dice,[fire-border],[1f4e4][fire][31-20E3]|[21aa][dice][dice],
,Ignite_upgraded,Inflict [fire]1 burn[;]|return the dice,Ignite_upgraded,[1f4e4][fire][31-20E3]|[21aa][1f449][dice],
,Ignite_downgraded,Inflict [fire]1 burn,Ignite_downgraded,[1f4e4][fire][31-20E3],
,Elastic Heart,Do [sword]<d6> damage[;]|recover [heal]1 health,[1f497-border],[1f4e4][sword]<d6>[1f915]|[heal][31-20E3],
,Elastic Heart_upgraded,Do [sword]<d6> damage[;]|recover [heal]<d6> health,Elastic Heart_upgraded,[1f4e4][sword]<d6>[1f915]|[heal]<d6>,
,Half Moon Charm,Roll a six,[1f31b-border][1fa84-border],[1f504][dice][1f522][36-20E3],
,Half Moon Charm_upgraded,Roll two dice that|add up to six,Half Moon Charm_upgraded,[1f504][dice][dice]|[1f522][2795][1f522][36-20E3],
,Half Moon Charm_downgraded,Roll a three,Half Moon Charm_downgraded,[1f504][dice][1f522][33-20E3],
,Singularity,Roll a one|[gray](Reuseable),[31-20E3-border],[1f504][dice][1f522][31-20E3]|,
,Lucky Roll,Reroll the dice[;] get a|higher value than before,[1f340-border][1f504-border],[1f4e5][dice][26d4][2935][1f449][dice],
,Lucky Roll_upgraded,Reroll with higher value|[gray](Reuseable),Lucky Roll_upgraded,[1f4e5][dice][26d4][2935][1f449][dice]|,
,Sine Wave,First dice value +1|Second dice value -1,[2195-border][1f30a-border],[1f449][1f4ee][1f4ee][dice][1f522][2795][31-20E3]|[1f4ee][1f4ee][1f448][dice][1f522][2796][31-20E3],
,Sine Wave_upgraded,Both dice values +1,Sine Wave_upgraded,[dice][dice][1f522][2795][31-20E3],
,Sine Wave_downgraded,Both dice values -1,Sine Wave_downgraded,[dice][dice][1f522][2796][31-20E3],
,Candle,Dice value -1[;] Lose [heart]1 hp|[gray](Reuseable),[1f56f-border],[dice][1f522][2796][31-20E3]|[2796][heart][31-20E3]|,
,Candle_upgraded,Dice value +1[;] Lose [heart]1 hp|[gray](Reuseable),Candle_upgraded,[dice][1f522][2795][31-20E3]|[2796][heart][31-20E3]|,
,Slingshot,Do [sword]6 damage[;]|reroll the dice,[1faa8-border][1f93e-border],[1f4e4][sword][36-20E3][1f915]|[1f504][1f449][dice],
,Slingshot_downgraded,Do [sword]6 damage,Slingshot_downgraded,[1f4e4][sword][36-20E3][1f915],
,Boxing Gloves,Do [sword]<d6> damage[;]|on 1[;] gain [reduce]1 instead,[1f94a-border],[dice][31-20E3][27a1][1f4e5][reduce][31-20E3]|[26d4][31-20E3][27a1][1f4e4][sword]<d6>[1f915],
,Boxing Gloves_upgraded,Do [sword]<d6> damage[;]|on 1[;] gain [reduce]2 instead,Boxing Gloves_upgraded,[dice][31-20E3][27a1][1f4e5][reduce][32-20E3]|[26d4][31-20E3][27a1][1f4e4][sword]<d6>[1f915],
,Boxing Gloves_downgraded,Do [sword]<d6> damage,Boxing Gloves_downgraded,[1f4e4][sword]<d6>[1f915],
,Battering Ram,Do 2x[shield]<myshield> damage[;]|but depletes your shield,[1f40f-border],[1f4e4][32-20E3][2716][shield]<myshield>[1f915]|[26d4][shield],
,Battering Ram_downgraded,Bash with shield[;]|do [shield]<myshield> damage,Battering Ram_downgraded,[shield][1f44a]|[1f4e4][shield]<myshield>[1f915],
,Flying Skull,Do [sword]<d6> damage[;]|on 6[;] inflict [curse]Curse,[1f94f-border][1f480-border],[1f4e4][sword]<d6>[1f915]|[36-20E3][27a1][1f4e4][curse],
,Flying Skull_upgraded,Do [sword]<d6> damage[;]|on even[;] inflict [curse]Curse,Flying Skull_upgraded,[1f4e4][sword]<d6>[1f915]|[32-20E3][34-20E3][36-20E3][27a1][1f4e4][curse],
,Flying Skull_downgraded,Do [sword]<d6> damage,Flying Skull_downgraded,[1f4e4][sword]<d6>[1f915],
,Disco Ball,Get +1 dice next turn|if the enemy rolls a <d6>,[1f57a-border],[2197][1f504]<d6>[27a1][1f4e5][2795][31-20E3][dice][23e9][231b],
,Disco Ball_upgraded,Get +1 dice next turn|if the enemy rolls a <d6>|[gray](Reuseable),Disco Ball_upgraded,[2197][1f504]<d6>[27a1][1f4e5][2795][31-20E3][dice][23e9][231b],
,Disco Ball?,Get an extra <d6> next turn|if the enemy rolls a <d6>,[1f57a-border][2753-border],[2197][1f504]<d6>[27a1][1f4e5]<d6>[23e9][231b],
,Disco Ball?_upgraded,Get an extra <d6> next turn|if the enemy rolls a <d6>|[gray](Reuseable),Disco Ball?_upgraded,[2197][1f504]<d6>[27a1][1f4e5]<d6>[23e9][231b],
,Woof Woof Woof?,Repeat next action[;] but|disable it next turn,[1f43a-border][1f43a-border][1f43a-border][2753-border],[23e9][1f590][1f501][1f449][231b][26d4][1f590][23e9][231b],
,Shovel?,Weaken if you use 6[;] then|do [weaken]<d6> damage,[2660-border][2753-border],[1f590][36-20E3][27a1][weaken]|[1f4e4][weaken]<d6>[1f915],
,Shovel?_upgraded,[weaken]Weaken enemy[;] then|do [weaken]<d6> damage,Shovel?_upgraded,[weaken][2197]|[1f4e4][weaken]<d6>[1f915],
,Shovel?_downgraded,Do [weaken]<d6> damage,Shovel?_downgraded,[1f4e4][weaken]<d6>[1f915],
,Ink Splat?,Inflict [blind]Blind for 1 turn,[1f991-border][26ab-border][2753-border],[1f4e4][blind][31-20E3][231b],
,Ink Splat?_upgraded,Inflict [blind]Blind for 1 turn|[gray](Reuseable),Ink Splat?_upgraded,[1f4e4][blind][31-20E3][231b]|,
,Sonic Wave?,[weaken]Weaken enemy[;] then|do [weaken]<d6> damage,[1f4e2-border][1f30a-border][2753-border],[weaken][2197]|[1f4e4][weaken]<d6>[1f915],
,Sonic Wave?_downgraded,[weaken]Weakens enemy,Sonic Wave?_downgraded,[weaken][2197],
,Snowball?,Do [ice]<d6> damage|Inflict [ice]1 freeze,[1f328-border][26aa-border][2753-border],[1f4e4][ice]<d6>[1f915]|[1f4e4][ice][31-20E3],
,Snowball?_downgraded,Do [sword]<d6> damage,Snowball?_downgraded,[1f4e4][sword]<d6>[1f915],
,Freeze Spell?,Deal [ice]5 damage|Inflict [ice]2 freeze,[1f9ca-border][1fa84-border][2753-border],[1f4e4][ice][35-20E3][1f915]|[1f4e4][ice][32-20E3],
,Freeze Spell?_downgraded,Deal [ice]5 damage|Inflict [ice]1 freeze,Freeze Spell?_downgraded,[1f4e4][ice][35-20E3][1f915]|[1f4e4][ice][31-20E3],
,Freeze Spell?_upgraded,Deal [ice]5 damage|Inflict [ice]1 freeze per dice,Freeze Spell?_upgraded,[1f4e4][ice][35-20E3][1f915]|[1f4e4][ice][31-20E3][267e][dice],
,Ice Shard?,Do [ice]<d6> damage[;]|Inflict [ice]1 freeze,[1f9ca-border][1f4cc-border][2753-border],[1f4e4][ice]<d6>[1f915]|[1f4e4][ice][31-20E3],
,Camouflage?,Inflict [blind]Blind for 2 turns,[1f978-border][2753-border],[1f4e4][blind][32-20E3][231b],
,Camouflage?_upgraded,Inflict [blind]Blind for 4 turns,Camouflage?_upgraded,[1f4e4][blind][34-20E3][231b],
,Camouflage?_downgraded,Inflict [blind]Blind for 1 turn,Camouflage?_downgraded,[1f4e4][blind][31-20E3][231b],
,Ice Crystal?,Do [ice]<d6> damage[;]|Inflict [ice]1 freeze,[1f9ca-border][1f48e-border][2753-border],[1f4e4][ice]<d6>[1f915]|[1f4e4][ice][31-20E3],
,Echo Blast?,Inflict [weaken]2 weaken[;] then|do [weaken]<d6> damage,[21aa-border][1f50a-border][2753-border],[1f4e4][weaken][32-20E3]|[1f4e4][weaken]<d6>[1f915],
,Earthquake?,Inflict [weaken]3 weaken[;] then|do [weaken]6 damage,[1f30d-border][1f4a2-border][2753-border],[1f4e4][weaken][33-20E3]|[1f4e4][weaken][36-20E3][1f915],
,Earthquake?_downgraded,Inflict [weaken]2 weaken[;] then|do [weaken]6 damage,Earthquake?_downgraded,[1f4e4][weaken][32-20E3]|[1f4e4][weaken][36-20E3][1f915],
,Earthquake?_upgraded,Inflict [weaken]3 weaken[;] then|do [weaken]9 damage,Earthquake?_upgraded,[1f4e4][weaken][33-20E3]|[1f4e4][weaken][39-20E3][1f915],
,Magic Key,Split a dice in two,[1fa84-border][1f511-border],[1fa9a][dice][25b6][dice][dice],
,Magic Key_downgraded,Split value in two,Magic Key_downgraded,[dice][1f522][2797][32-20E3],
,Chocolate Cookie?,Repeat next action[;] but|disable it next turn,[1f36a-border][2753-border],[23e9][1f590][1f501][1f449][231b][26d4][1f590][23e9][231b],
,Chocolate Cookie?_downgraded,Keep the next dice you use,Chocolate Cookie?_downgraded,[1f4e5][23e9][dice][1f590],
,Dodge?,50% chance to dodge|the next attack,[dodge-border][2753-border],[1fa99][1f646][27a1][dodge][23e9][1f915],
,Flight?,50% chance to dodge|the next attack,[1fab6-border][2753-border],[1fa99][1f646][27a1][dodge][23e9][1f915],
,Stack Overflow,Do [sword]9 damage[;]|immune to errors,[1f4da-border][1f4a5-border],[1f4e4][sword][39-20E3][1f915]|[26d4][26a0],
,Stack Overflow_upgraded,Do [sword]12 damage[;]|immune to errors,Stack Overflow_upgraded,[1f4e4][sword][31-20E3][32-20E3][1f915]|[26d4][26a0],
,Stack Overflow_downgraded,Do [sword]6 damage[;]|immune to errors,Stack Overflow_downgraded,[1f4e4][sword][36-20E3][1f915]|[26d4][26a0],
,Precious Egg@6,Contains a powerful item,[1f44d-border][1f95a-border]@[36-20E3-border],[1f423][1f44d][1f6e0],
,Precious Egg@6_upgraded,Contains a bigger|powerful item,Precious Egg@6_upgraded,[1f423][2b06][1f44d][1f6e0],
,Precious Egg@5,Contains a powerful item|Keep going!,[1f44d-border][1f95a-border]@[35-20E3-border],[1f423][1f44d][1f6e0]|[2757][1f501][1f590],
,Precious Egg@5_upgraded,Contains a bigger|powerful item,Precious Egg@5_upgraded,[1f423][2b06][1f44d][1f6e0],
,Precious Egg@4,Contains a powerful item|Keep going!,[1f44d-border][1f95a-border]@[34-20E3-border],[1f423][1f44d][1f6e0]|[2757][1f501][1f590],
,Precious Egg@4_upgraded,Contains a bigger|powerful item,Precious Egg@4_upgraded,[1f423][2b06][1f44d][1f6e0],
,Precious Egg@3,Contains a powerful item|Keep going!,[1f44d-border][1f95a-border]@[33-20E3-border],[1f423][1f44d][1f6e0]|[2757][1f501][1f590],
,Precious Egg@3_upgraded,Contains a bigger|powerful item,Precious Egg@3_upgraded,[1f423][2b06][1f44d][1f6e0],
,Precious Egg@2,Contains a powerful item|Keep going!,[1f44d-border][1f95a-border]@[32-20E3-border],[1f423][1f44d][1f6e0]|[2757][1f501][1f590],
,Precious Egg@2_upgraded,Contains a bigger|powerful item,Precious Egg@2_upgraded,[1f423][2b06][1f44d][1f6e0],
,Precious Egg@1,Contains a powerful item|Keep going!,[1f44d-border][1f95a-border]@[31-20E3-border],[1f423][1f44d][1f6e0]|[2757][1f501][1f590],
,Precious Egg@1_upgraded,Contains a bigger|powerful item,Precious Egg@1_upgraded,[1f423][2b06][1f44d][1f6e0],
,Very Good Sword,Do [sword]<double> damage,[1f44d-border][sword-border],[1f4e4][sword][32-20E3][2716]<d6>[1f915],
,Very Good Sword_upgraded,Do [sword]<triple> damage,Very Good Sword_upgraded,[1f4e4][sword][33-20E3][2716]<d6>[1f915],
,Very Good Sword_downgraded,Do [sword]<d6> damage,Very Good Sword_downgraded,[1f4e4][sword]<d6>[1f915],
,Sword Hilt,Do [sword]<d6> damage,[1f5e1-border][2196-border],[1f4e4][sword]<d6>[1f915],
,Overclock,Do [sword]2 damage[;] CPU -2|[gray](Reuseable),[2795-border][23f2-border],[1f4e4][sword][32-20E3][1f915]|[1f5a5][2796][32-20E3]|,
,Overclock_upgraded,Do [sword]3 damage[;] CPU -3|[gray](Reuseable),Overclock_upgraded,[1f4e4][sword][33-20E3][1f915]|[1f5a5][2796][33-20E3]|,
,Overclock_downgraded,Do [sword]1 damage[;] CPU -1|[gray](Reuseable),Overclock_downgraded,[1f4e4][sword][31-20E3][1f915]|[1f5a5][2796][31-20E3]|,
,Memory Leak,Do [sword]<double> damage|(Slots shrink on each roll),[1f6b6-border][1f5c4-border],[1f4e4][sword][32-20E3][2716]<d6>[1f915]|[2796][1f4ee][267e][dice][1f504],
,Liquid Cooling,Freeze all of your|own dice,[1f4a7-border][1f976-border],[ice][267e][2199][dice],
,Liquid Cooling_weakened,Inflict [ice]1 freeze|to yourself,Liquid Cooling_weakened,[1f4e4][ice][31-20E3][2199],
,Liquid Cooling_downgraded,Inflict [ice]1 freeze|to yourself,Liquid Cooling_downgraded,[1f4e4][ice][31-20E3][2199],
,Cooling Fan,Reduce CPU by half,[1f32c-border][1f5a8-border],[1f5a5][2797][32-20E3],
,Cooling Fan_weakened,Reduce CPU by a quarter,Cooling Fan_weakened,[2796][1f5a5][2797][34-20E3],
,Cooling Fan_downgraded,Reduce CPU by a quarter,Cooling Fan_downgraded,[2796][1f5a5][2797][34-20E3],
,Virus,On each equipment use[;]|increase CPU by 1,[1f5a5-border][1f9a0-border],[267e][1f6e0][1f590]|[2795][1f5a5][31-20E3],
,Concatenate,CPU counter +<d6>,[1f5a5-border][1f5a5-border],[1f5a5][2795]<d6>,
,Concatenate_upgraded,CPU counter +<d6>|[gray](Reuseable),Concatenate_upgraded,[1f5a5][2795]<d6>|,
,Starspear,Do [sword]6 damage[;]|add 2x random status,[confuse-border][1f93a-border],[1f4e4][sword][36-20E3][1f915]|[2795][32-20E3][2716][2753][1f300],
,Starspear_upgraded,Do [sword]<d6> damage[;]|add 2x random status,Starspear_upgraded,[1f4e4][sword]<d6>[1f915]|[2795][32-20E3][2716][2753][1f300],
,Lucky Star,Do [sword]1 damage[;] roll a 5|[gray](Reuseable),[1f340-border][confuse-border],[1f4e4][sword][31-20E3][1f915]|[1f504][dice][1f522][35-20E3]|,
,Lucky Star_upgraded,Do [sword]3 damage[;] roll a 5|[gray](Reuseable),Lucky Star_upgraded,[1f4e4][sword][33-20E3][1f915]|[1f504][dice][1f522][35-20E3]|,
,Lucky Star_downgraded,Do [sword]1 damage[;] roll a 1|[gray](Reuseable),Lucky Star_downgraded,[1f4e4][sword][31-20E3][1f915]|[1f504][dice][1f522][31-20E3]|,
