Changed?,String,String_en,Location,Notes,
,Roll an extra 1 next turn if the enemy rolls a 1.,[2197][1f504][31-20e3][27a1][1f504][31-20e3][23e9][231b],Status Effect,Tooltip for Dice_Trigger_1?,
,Dice_Trigger_2?,[dice-border][32-20e3-border][1f504-border][2753-border],Status Effect,,
,Roll an extra 2 next turn if the enemy rolls a 2.,[2197][1f504][32-20e3][27a1][1f504][32-20e3][23e9][231b],Status Effect,Tooltip for Dice_Trigger_2?,
,Dice_Trigger_3?,[dice-border][33-20e3-border][1f504-border][2753-border],Status Effect,,
,Roll an extra 3 next turn if the enemy rolls a 3.,[2197][1f504][33-20e3][27a1][1f504][33-20e3][23e9][231b],Status Effect,Tooltip for Dice_Trigger_3?,
,Dice_Trigger_4?,[dice-border][34-20e3-border][1f504-border][2753-border],Status Effect,,
,Roll an extra 4 next turn if the enemy rolls a 4.,[2197][1f504][34-20e3][27a1][1f504][34-20e3][23e9][231b],Status Effect,Tooltip for Dice_Trigger_4?,
,Dice_Trigger_5?,[dice-border][35-20e3-border][1f504-border][2753-border],Status Effect,,
,Roll an extra 5 next turn if the enemy rolls a 5.,[2197][1f504][35-20e3][27a1][1f504][35-20e3][23e9][231b],Status Effect,Tooltip for Dice_Trigger_5?,
,Dice_Trigger_6?,[dice-border][36-20e3-border][1f504-border][2753-border],Status Effect,,
,Roll an extra 6 next turn if the enemy rolls a 6.,[2197][1f504][36-20e3][27a1][1f504][36-20e3][23e9][231b],Status Effect,Tooltip for Dice_Trigger_6?,
,Counter_1?,[lock-border][31-20e3-border][2753-border],Status Effect,,
,All enemy dice that roll 1 must be used first.,[267e][2197][dice][31-20e3][2757][1f590][23ee],Status Effect,Tooltip for Counter_1?,
,Counter_2?,[lock-border][32-20e3-border][2753-border],Status Effect,,
,All enemy dice that roll 2 must be used first.,[267e][2197][dice][32-20e3][2757][1f590][23ee],Status Effect,Tooltip for Counter_2?,
,Counter_3?,[lock-border][33-20e3-border][2753-border],Status Effect,,
,All enemy dice that roll 3 must be used first.,[267e][2197][dice][33-20e3][2757][1f590][23ee],Status Effect,Tooltip for Counter_3?,
,Counter_4?,[lock-border][34-20e3-border][2753-border],Status Effect,,
,All enemy dice that roll 4 must be used first.,[267e][2197][dice][34-20e3][2757][1f590][23ee],Status Effect,Tooltip for Counter_4?,
,Counter_5?,[lock-border][35-20e3-border][2753-border],Status Effect,,
,All enemy dice that roll 5 must be used first.,[267e][2197][dice][35-20e3][2757][1f590][23ee],Status Effect,Tooltip for Counter_5?,
,Counter_6?,[lock-border][36-20e3-border][2753-border],Status Effect,,
,All enemy dice that roll 6 must be used first.,[267e][2197][dice][36-20e3][2757][1f590][23ee],Status Effect,Tooltip for Counter_6?,
,Against_All _Odds,[2694-border][267e-border][1fa99-border],Status Effect,,
,Survive all fatal blows until your next turn.,[26d4][26b0][267e][26b0][1f915][1f449][231b],Status Effect,Tooltip for Against_All _Odds,
,Bear_Transform,[1f43b-border][2194-border],Status Effect,,
,Counter reduces by one on each turn.|If it reaches zero[;] transform into a bear.,[2796][1f9ee][267e][231b]|[1f9ee][30-20e3][27a1][1f4e5][1f43b][1f457],Status Effect,Tooltip for Bear_Transform,
,Extra,[2795-border][1f915-border],Status Effect,,
,Do [sword]<value> extra damage with each attack this turn.,[267e][1f915][1f449][231b][1f4e4][2795][sword]<value>[1f915],Status Effect,Tooltip for Extra,
,Reflect,[21aa-border],Status Effect,,
,If defeated[;] reflect any excessive damage back at you.,[1f915][2934][heart][27a1][1f4e4][1f449][2934][1f915],Status Effect,Tooltip for Reflect,
,Cannotseeenemyhealth,[blind-border],Status Effect,,
,(should not appear),,Status Effect,Tooltip for Cannotseeenemyhealth,
,Vanish,[vanish-border],Status Effect,,
,Duplicate dice are immediately destroyed.,[dice][1f9e6][27a1][1f5d1],Status Effect,Tooltip for Vanish,
,RobotIsBlinded,[blind-border],Status Effect,,
,(should not appear),,Status Effect,Tooltip for RobotIsBlinded,
,CrystalinaRemix,[mana-border],Status Effect,,
,(should not appear),,Status Effect,Tooltip for CrystalinaRemix,
,Keep_Unused_Dice,[1f4a1-border][26d4-border][1f590-border][dice-border],Status Effect,,
,Stash some dice for next turn.,[1f4e5][dice][23e9][231b],Status Effect,Tooltip for Keep_Unused_Dice,
,bindweakentopoison,[dice-border],Status Effect,,
,(should not appear),,Status Effect,Tooltip for bindweakentopoison,
,WatchRustySword,[dice-border],Status Effect,,
,(should not appear),,Status Effect,Tooltip for WatchRustySword,
,A different rule change[;] chosen randomly.,[2753][1f4dc],Remix screen,Remixed rule,
,All enemy equipment is upgraded.,[267e][2197][1f6e0][2795],Remix screen,Remixed rule,
,Both you and your enemies start each|fight with [fury]Fury[].,[267e][2694][2199][2197][1f4e5][fury],Remix screen,Remixed rule,
,Enemies can throw unused dice at you.,[2197][1f93e][26d4][1f590][dice],Remix screen,Remixed rule,
,Enemies get 20% extra health.,[2197][1f4e5][heart][2797][35-20e3],Remix screen,Remixed rule,
,You are [curse]Cursed[] at the start of|every turn.,[2199][curse][267e][231b],Remix screen,Remixed rule,
,Enemies will [dodge]Dodge[] your first|attack every turn.,[2197][dodge][23ee][1f915][267e][231b],Remix screen,Remixed rule,
,Burning dice cost [heart]5[] hp to extinguish.,[fire][dice][1f9ef][27a1][2796][heart][35-20e3],Remix screen,Remixed rule,
,One of your dice is [ice]Frozen at the|start of every turn.,[31-20e3][dice][ice][267e][231b],Remix screen,Remixed rule,
,One of your dice is [fire]Burning at the|start of every turn.,[31-20e3][dice][fire][267e][231b],Remix screen,Remixed rule,
,On your first turn[;] all your dice rolls|are the same number.,[23ee][231b][267e][dice][1f504][1f9e6],Remix screen,Remixed rule,
,Enemies get 10% extra health.,[2197][1f4e5][heart][2797][31-20e3][30-20e3],Remix screen,Remixed rule,
,Enemies have a chance to go first.,[2197][1fa99][27a1][23ee][231b],Remix screen,Remixed rule,
,Everything in the dungeon looks like|a treasure chest.,[267e][1f3f0][1f440][1f9f0],Remix screen,Remixed rule,
,One of your dice is [blind]Blinded at the|start of every turn.,[31-20e3][dice][blind][267e][231b],Remix screen,Remixed rule,
,Poison is no longer reduced by 1|each turn.,[poison][26d4][2796][31-20e3][267e][231b],Remix screen,Remixed rule,
,Start with 2 extra dice. Lose 1 dice|every turn[;] until you have just 1 left.,[23ee][231b][2795][32-20e3][dice]|[267e][231b][2934][32-20e3][dice][27a1][2796][31-20e3][dice],Remix screen,Remixed rule,
,If your CPU counter exceeds the|target[;] take [heart]5[] damage.,[1f5a5][26d4][2935][1f389][27a1][1f4e5][heart][35-20e3][1f915],Remix screen,Remixed rule,
,The odds of [curse]Curse[] triggering is|reduced to 25%.,[curse][1fa99][25b6][1fa99][1fa99][1f646],Remix screen,Remixed rule,
,Instead of causing equipment to fail[;]|[curse]Curse[] reverses your target.,[curse][1f6e0][26d4][1f610]|[curse][1f6e0][2194][2199][2197],Remix screen,Remixed rule,
,Enemies start each fight with [fury]Fury[].,[2197][1f4e5][fury][23ee][231b],Remix screen,Remixed rule,
,All enemies get a Rock.,[267e][2197][1f4e5][1faa8],Remix screen,Remixed rule,
,Lose a dice.,[2796][dice],Remix screen,Remixed rule,
,Lose [heart]10[] max health.,[2796][heart][31-20e3][30-20e3][heart][1f4ca],Remix screen,Remixed rule,
,Enemies always roll a 6.,[2197][1f504][31-20e3][36-20e3][267e][231b],Remix screen,Remixed rule,
,You need an even dice to unshock|[shock]Shocked[] equipment.,[shock][2757][32-20e3][34-20e3][36-20e3][dice],Remix screen,Remixed rule,
,Status effects are different.,[1f501][1f30d][1f300],Remix screen,Remixed rule,
,After 4 turns[;] all enemies transform|into bears.,[34-20e3][231b][27a1][2197][1f4e5][1f43b][1f457],Remix screen,Remixed rule,
,You will never roll a 6.,[2199][26d4][1f504][36-20e3],Remix screen,Remixed rule,
,Both you and your enemies do +[sword]1|extra damage with each attack.,[2199][2197][1f4e4][2795][sword][31-20e3][1f915][1f915][267e][1f915],Remix screen,Remixed rule,
,When you defeat an enemy[;] excessive|damage is reflected back at you.,[1f915][2934][2197][heart][27a1][1f4e5][1f449][2934][1f915],Remix screen,Remixed rule,
,Switch to [quote]Finders Keepers[quote] rules.,[1f4e5][1f440][1f4e5][1f4dc],Remix screen,Remixed rule,
,All equipment you find is upgraded.,[267e][1f6e0][2795],Remix screen,Remixed rule,
,Start each fight with [poison]2 poison.,[23ee][231b][1f4e5][poison][32-20e3],Remix screen,Remixed rule,
,No duplicates! Matching dice vanish|as soon as they are created.,[2757][26d4][1f9e6]|[1f504][1f9e6][dice][27a1][1f5d1],Remix screen,Remixed rule,
,Using any piece of equipment will|reroll a random dice.,[1f590][1f6e0][27a1][1f504][2753][dice],Remix screen,Remixed rule,
,At the start of each turn[;] replace one|of your items with a random item.,[267e][231b][2753][1f6e0][25b6][2753][1f6e0],Remix screen,Remixed rule,
,Shops can sell any item from the game.,[1f6d2][1f9dd-200d-2640-fe0f][1f4e5][2753][1f6e0][1f6e0][1f6e0],Remix screen,Remixed rule,
,Add two super enemies.,[2795][32-20e3][1f9b8][2197],Remix screen,Remixed rule,
,Cannot see enemy health after|the first turn.,[231b][2934][32-20e3][27a1][26d4][1f440][2197][heart],Remix screen,Remixed rule,
,If you or your enemy rolls a six[;] it|automatically catches on fire.,[2199][2197][1f504][dice][36-20e3][27a1][1f449][dice][fire],Remix screen,Remixed rule,
,Both you and your enemies start each|fight with [recycle]Re-Equip_Next[].,[23ee][231b][2199][2197][1f4e5][recycle],Remix screen,Remixed rule,
,Maximum health no longer increases|when you level up.,[2795][1f4aa][27a1][heart][1f4ca][26d4][2934],Remix screen,Remixed rule,
,Reduce scrap choices to two. The|second choice is hidden.,[32-20e3][267b][1f6e0]|[31-20e3][1f440][31-20e3][26d4][1f440],Remix screen,Remixed rule,
,Swap all [fire]Fire equipment for [ice]Ice|equipment[;] and vice versa.,[fire][1f6e0][25b6][ice]|[ice][1f6e0][25b6][fire],Remix screen,Remixed rule,
,Enemies countdowns reduce at|double the normal rate.,[2197][1f590][1f9ee][27a1][2796][32-20e3][2716][dice][1f522],Remix screen,Remixed rule,
,All enemies get an extra dice.,[267e][2197][1f4e5][dice],Remix screen,Remixed rule,
,On your first turn[;] all of your|equipment is [shock]Shocked.,[23ee][231b]|[267e][2199][1f6e0][shock],Remix screen,Remixed rule,
,You can't make more than six|moves per turn.,[267e][231b][2935][36-20e3][1f590],Remix screen,Remixed rule,
,Keep unused dice until your next turn.|Lose [heart]1 hp for each dice you keep.,[1f4e5][26d4][1f590][dice][23e9][231b]|[2796][heart][31-20e3][267e][dice][2199][1f4e5],Remix screen,Remixed rule,
,Any enemy can potentially be the|boss of the dungeon.,[2753][2197][1f3f0][1f451],Remix screen,Remixed rule,
,One spell slot contains a completely|random spell each turn.,[31-20e3][1f4ee][2753][1f6e0][267e][231b],Remix screen,Remixed rule,
,Instead of causing damage[;] burning|dice disables equipment.,[fire][dice][26d4][1f915]|[1f590][27a1][1f6e0][1f937],Remix screen,Remixed rule,
,Change [ice]Freeze to instead reduce|the value of all dice by 1.,[ice][27a1][267e][dice][1f522][2796][31-20e3],Remix screen,Remixed rule,
,When [poison]Poison deals damage[;] it also|inflicts [weaken]1 weaken.,[poison][1f4e4][1f915][27a1][1f4e4][weaken][31-20e3],Remix screen,Remixed rule,
,Take [heart]2 damage at the start of each|turn[;] unless your limit break is full.,[267e][231b][1f31f][26d4][2934][1f4ca][27a1][1f4e5][heart][32-20e3][1f915],Remix screen,Remixed rule,
,At the start of your turn[;] change the|dice requirements for a random item.,[267e][231b][2753][1f6e0][1f4ee][2753][1f522],Remix screen,Remixed rule,
,Switch to [quote]You Choose[;] You Lose[quote]|rules.,[1f4e5][2199][1f446][2199][2639][1f4dc],Remix screen,Remixed rule,
,Swap_Next_Target,[2194-border][2199-border][2197-border],Status Effect,,
,The next equipment you use will swap target.,[23e9][1f6e0][1f590][2194][2199][2197],Status Effect,Tooltip for Swap_Next_Target,
,Haunted,[haunted-border],Status Effect,,
,Using any piece of equipment will|reroll a random dice.,[1f590][1f6e0][27a1][1f504][2753][dice],Status Effect,Tooltip for Haunted,
,Block_All,[reduce-border][267e-border],Status Effect,,
,Take no damage until the end of this turn.,[26d4][1f915][1f449][231b],Status Effect,Tooltip for Block_All,
,Spooky_Fury,[haunted-border][fury-border],Status Effect,,
,50% chance to use the next equipment twice[;]|lasts until something triggers it.,[1fa99][1f646][27a1][1f590][1f590][23e9][1f6e0]|[1f590][27a1][2796][haunted],Status Effect,Tooltip for Spooky_Fury,
,Spooky_Fury,[haunted-border][fury-border],Status Effect,,
,50% chance to use the next equipment twice[;]|lasts until something triggers it.,[1fa99][1f646][27a1][1f590][1f590][23e9][1f6e0]|[1f590][27a1][2796][haunted],Status Effect,Tooltip for Spooky_Fury,
,Error_All,[recycle-border],Status Effect,,
,(text should not appear - workaround for Polarity Flip + Pandemonium combination),,Status Effect,Tooltip for Error_All,
,You start each turn with [fury]Fury[;] but|it only works 50% of the time.,[267e][231b][1f4e5][fury]|[1fa99][1f646][27a1][26d4][1f590],Remix screen,Remixed rule,
,Enemies get 50% extra health.,[2197][2795][heart][2797][32-20e3],Remix screen,Remixed rule,
,All status effects are doubled.,[267e][1f300][2716][32-20e3],Remix screen,Remixed rule,
